Size,Used,Avail,Used%,date_time
1000G,817G,183G,82%,2025-03-19 08:20:01
1000G,818G,183G,82%,2025-03-19 09:20:01
1000G,818G,183G,82%,2025-03-19 10:20:01
1000G,818G,183G,82%,2025-03-19 11:20:01
1000G,818G,183G,82%,2025-03-19 12:20:01
1000G,818G,183G,82%,2025-03-19 13:20:02
1000G,818G,183G,82%,2025-03-19 14:20:01
1000G,818G,183G,82%,2025-03-19 15:20:01
1000G,818G,182G,82%,2025-03-19 16:20:03
1000G,818G,182G,82%,2025-03-19 17:20:03
1000G,818G,182G,82%,2025-03-19 18:20:01
1000G,818G,182G,82%,2025-03-19 19:20:02
1000G,820G,181G,82%,2025-03-20 02:20:03
1000G,820G,181G,82%,2025-03-20 03:20:04
1000G,820G,181G,82%,2025-03-20 04:20:03
1000G,820G,181G,82%,2025-03-20 05:20:03
1000G,820G,181G,82%,2025-03-20 06:20:03
1000G,820G,181G,82%,2025-03-20 07:20:02
1000G,820G,181G,82%,2025-03-20 08:20:02
1000G,820G,181G,82%,2025-03-20 09:20:01
1000G,820G,181G,82%,2025-03-20 10:20:02
1000G,820G,181G,82%,2025-03-20 11:20:02
1000G,820G,181G,82%,2025-03-20 12:20:01
1000G,820G,180G,82%,2025-03-20 13:20:01
1000G,820G,180G,83%,2025-03-20 14:20:02
1000G,820G,180G,83%,2025-03-20 15:20:01
1000G,820G,180G,83%,2025-03-20 16:20:01
1000G,820G,180G,83%,2025-03-20 17:20:01
1000G,820G,180G,83%,2025-03-20 18:20:01
1000G,820G,180G,83%,2025-03-20 19:20:02
1000G,822G,179G,83%,2025-03-21 02:20:03
1000G,822G,179G,83%,2025-03-21 03:20:04
1000G,822G,179G,83%,2025-03-21 04:20:04
1000G,822G,179G,83%,2025-03-21 05:20:03
1000G,822G,179G,83%,2025-03-21 06:20:04
1000G,822G,179G,83%,2025-03-21 07:20:03
1000G,822G,179G,83%,2025-03-21 08:20:02
1000G,822G,179G,83%,2025-03-21 09:20:03
1000G,822G,179G,83%,2025-03-21 10:20:05
1000G,822G,178G,83%,2025-03-21 11:20:03
1000G,822G,178G,83%,2025-03-21 12:20:03
1000G,822G,178G,83%,2025-03-21 13:20:02
